2026-03-07 15:38:18,082 | INFO | ticket 1 correct
2026-03-07 15:38:18,082 | ERROR | Path incorrect. Reason: Invalid lifecycle transition
2026-03-07 15:38:18,125 | INFO | user Один assert in bd
2026-03-07 15:38:18,125 | INFO | branch Асгард assert
2026-03-07 15:38:18,126 | INFO | user Тор assert in bd
2026-03-07 15:38:18,126 | INFO | Event CASH_COLLECTION_REQUEST correct
2026-03-07 15:38:18,126 | INFO | Ticket CASH_COLLECTION_REQUEST create
2026-03-07 15:38:18,126 | INFO | party_ticket correct
2026-03-07 15:38:18,168 | INFO | user Один assert in bd
2026-03-07 15:38:18,168 | INFO | branch Асгард assert
2026-03-07 15:38:18,168 | INFO | user Тор assert in bd
2026-03-07 15:38:18,168 | INFO | user Локи assert in bd
2026-03-07 15:38:18,169 | INFO | user Фрейя assert in bd
2026-03-07 15:38:18,169 | INFO | Event CASH_COLLECTION_REQUEST correct
2026-03-07 15:38:18,169 | INFO | Ticket CASH_COLLECTION_REQUEST create
2026-03-07 15:38:18,169 | INFO | party_ticket correct
2026-03-07 15:38:18,169 | INFO | ticket 1 correct
2026-03-07 15:38:18,169 | INFO | path_correct
2026-03-07 15:38:18,169 | INFO | ticket 1 correct
2026-03-07 15:38:18,169 | INFO | Ticket 1 update patch dict_keys(['current_state', 'comment'])
2026-03-07 15:38:18,169 | INFO | ticket 1 correct
2026-03-07 15:38:18,170 | INFO | path_correct
2026-03-07 15:38:18,170 | INFO | ticket 1 correct
2026-03-07 15:38:18,170 | INFO | Ticket 1 update patch dict_keys(['priority', 'comment'])
2026-03-07 15:38:18,170 | INFO | ticket 1 correct
2026-03-07 15:38:18,171 | INFO | path_correct
2026-03-07 15:38:18,171 | INFO | ticket 1 correct
2026-03-07 15:38:18,171 | INFO | Ticket 1 update patch dict_keys(['current_state', 'assigned_to', 'comment'])
2026-03-07 15:38:18,171 | INFO | ticket 1 correct
2026-03-07 15:38:18,171 | INFO | path_correct
2026-03-07 15:38:18,171 | INFO | ticket 1 correct
